# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6846
#@/user_id	4267ddf1-3dbe-4b05-ba14-7f437c90ceff
a 	啊	c=43 d=1.75151 t=6237
xin ban 	新版	c=1 d=1 t=1607
xin de 	新的	c=2 d=1.00001 t=5717
xin fei 	心肺	c=1 d=1 t=268
xin feng 	信封	c=1 d=1 t=4558
xin jia po 	新加坡	c=1 d=1 t=2544
xin jian 	信件	c=2 d=1.99005 t=3325
xin qing 	心情	c=1 d=1 t=307
xin sui 	心碎	c=1 d=1 t=2299
xin tiao 	心跳	c=2 d=1.99005 t=1392
xin tou 	新头	c=1 d=1 t=1715
xin wen 	新闻	c=1 d=1 t=3907
xin xi 	信息	c=1 d=1 t=5663
xin ya da 	信雅达	c=1 d=1 t=6574
xin yong 	信用	c=2 d=1.00018 t=5080
xin yong ka 	信用卡	c=5 d=1.00034 t=5191
xing 	型	c=3 d=2.80506 t=3113
xing 	性	c=2 d=1.71892 t=4940
xing 	星	c=2 d=1.0052 t=2793
xing 	行	c=3 d=1.10807 t=4798
xing a 	行啊	c=2 d=1.92312 t=2210
xing bie 	性别	c=1 d=1 t=4838
xing fu 	幸福	c=1 d=1 t=5756
xing hao 	幸好	c=1 d=1 t=4344
xing ming 	姓名	c=1 d=1 t=3392
xing pi 	性癖	c=1 d=1 t=3516
xing qi si 	星期四	c=1 d=1 t=1461
xing rong 	形容	c=1 d=1 t=1739
xing xing 	星星	c=1 d=1 t=5342
xing yun jiang 	星云奖	c=1 d=1 t=5054
xing zhuan 	性转	c=1 d=1 t=3582
xiong 	胸	c=1 d=1 t=3877
xiong da 	胸大	c=0 d=0.1 t=960
xiu shen yang xing 	修身养性	c=1 d=1 t=284
xu 	续	c=2 d=1.23693 t=3062
xu ji 	续集	c=1 d=1 t=1834
xu jiu 	酗酒	c=1 d=1 t=2012
xu qiu 	需求	c=1 d=1 t=4237
xu wei 	虚伪	c=1 d=1 t=4468
xu yao 	需要	c=2 d=1.03633 t=6291
xu yao de 	需要的	c=1 d=1 t=772
xu yue 	续约	c=1 d=1 t=1863
xuan 	选	c=1 d=0.100311 t=4195
xuan hao 	选好	c=1 d=1 t=1568
xuan kong 	悬空	c=1 d=1 t=3748
xuan ze 	选择	c=1 d=0.100016 t=3625
xuan ze le 	选择了	c=1 d=1 t=148
xue 	学	c=8 d=0.100318 t=6123
xue 	血	c=1 d=1 t=5020
xue che 	学车	c=1 d=1 t=6201
xue guan 	血管	c=1 d=1 t=115
xue le 	学了	c=1 d=1 t=5387
xue sheng 	学生	c=1 d=1 t=6064
xue shi 	学识	c=1 d=1 t=1255
xue shu jie 	学术界	c=1 d=1 t=4587
xue tang 	血糖	c=2 d=1.92774 t=2215
xue wu zhi jing 	学无止境	c=1 d=1 t=4598
xue xi 	学习	c=1 d=1 t=6804
xue xi le 	学习了	c=1 d=1 t=1676
xue xi qi 	学习期	c=1 d=1 t=4327
xue xi xue xi 	学习学习	c=0 d=0.1 t=68
xue xi yi xia 	学习一下	c=1 d=1 t=4602
xun lian 	训练	c=10 d=4.38693 t=4935
ya 	压	c=1 d=1 t=4038
ya 	呀	c=13 d=1.04358 t=5000
ya 	雅	c=1 d=1 t=2740
ya dao 	压倒	c=1 d=1 t=4073
ya li 	压力	c=1 d=1 t=4016
ya ling 	哑铃	c=1 d=1 t=5260
ya yun 	押韵	c=1 d=1 t=6713
ya zhou 	亚洲	c=0 d=0.1 t=6143
ya zhou dun 	亚洲蹲	c=1 d=1 t=6144
ya zi 	鸭子	c=1 d=1 t=5852
yan 	盐	c=1 d=1 t=2333
yan 	眼	c=1 d=1 t=4819
yan bian cheng 	演变成	c=1 d=1 t=1480
yan chi 	延迟	c=1 d=1 t=1201
yan huang zi sun 	炎黄子孙	c=1 d=1 t=6565
yan ji 	演技	c=1 d=1 t=6810
yan jing 	眼睛	c=1 d=1.00006 t=4820
yan jiu 	研究	c=2 d=1.00009 t=4851
yan jiu le 	研究了	c=0 d=0.1 t=437
yan jiu yan jiu 	研究研究	c=1 d=1 t=57
yan mai 	燕麦	c=1 d=1 t=6656
yan shen 	眼神	c=1 d=1 t=5731
yan zhong 	严重	c=1 d=1 t=1707
yang 	样	c=1 d=1 t=397
yang 	痒	c=2 d=1.00229 t=5833
yang qi 	氧气	c=1 d=1 t=4069
yang sheng 	养生	c=1 d=1 t=725
yang zi 	样子	c=2 d=1 t=5491
yao 	咬	c=2 d=1.31349 t=461
yao 	药	c=2 d=1.9802 t=2540
yao 	要	c=27 d=1.75099 t=6746
yao bai 	摇摆	c=1 d=1 t=3797
yao chi 	要吃	c=1 d=1 t=2234
yao chong xin 	要重新	c=1 d=1 t=24
yao chu li 	要处理	c=1 d=1 t=5639
yao dian 	药店	c=1 d=1 t=5863
yao gan 	要干	c=1 d=1 t=5601
yao kan 	要看	c=2 d=1.73345 t=6026
yao me 	要么	c=2 d=1.98511 t=2441
yao qing 	邀请	c=1 d=1 t=2642
yao qiu 	要求	c=4 d=1.00024 t=5363
yao shang 	要上	c=1 d=1 t=2017
yao shi 	要是	c=4 d=1.00243 t=2557
yao shui 	要睡	c=1 d=1 t=3181
yao si 	要死	c=1 d=1 t=895
yao tu 	要图	c=1 d=1 t=5099
yao wu 	药物	c=2 d=1.04221 t=1311
yao xi xin 	要细心	c=1 d=1 t=5010
yao you 	要有	c=2 d=1.10177 t=4308
yao zen me 	要怎么	c=1 d=1 t=4123
ye 	业	c=1 d=1 t=5800
ye 	也	c=22 d=1.32624 t=6147
ye 	耶	c=1 d=0.100758 t=3339
ye 	野	c=4 d=1.1281 t=6040
ye 	页	c=0 d=0.1 t=1011
ye bi jiao 	也比较	c=1 d=1 t=5825
ye bu cuo 	也不错	c=2 d=1 t=5356
ye bu hui 	也不会	c=1 d=1 t=5830
ye chi 	也吃	c=0 d=0.1 t=837
ye chi zheng chang de 	也吃正常的	c=1 d=1 t=838
ye gao 	也高	c=1 d=1 t=4230
ye hai 	也还	c=0 d=0.1 t=3069
ye hai hao 	也还好	c=1 d=1 t=3070
ye hao 	也好	c=1 d=1 t=6740
ye hao kan 	也好看	c=1 d=1 t=1835
ye hao shuai 	也好帅	c=1 d=1 t=2380
ye hen shuang 	也很爽	c=1 d=1 t=4041
ye hen zhong yao 	也很重要	c=1 d=1 t=6225
ye jiu 	也就	c=1 d=1 t=6678
ye ke yi 	也可以	c=2 d=1 t=5578
ye luo 	叶落	c=1 d=1 t=3685
ye mei 	也没	c=1 d=1 t=6696
ye mei sha 	也没啥	c=1 d=1 t=468
ye neng 	也能	c=3 d=1.07488 t=6219
ye neng ti gao 	也能提高	c=1 d=1 t=2227
ye shi 	也是	c=9 d=0.4698 t=6003
ye shi zai 	也是在	c=1 d=1 t=2340
ye shi zhe me shuo de 	也是这么说的	c=1 d=1 t=6004
ye suan 	也算	c=1 d=1 t=1570
ye ting 	也挺	c=0 d=0.1 t=6151
ye ting hao wan de 	也挺好玩的	c=1 d=1 t=6152
ye yao 	也要	c=2 d=1.81465 t=4325
ye ye 	爷爷	c=1 d=1 t=3962
ye you 	也有	c=3 d=1.011 t=6140
ye you dao li 	也有道理	c=1 d=1 t=2978
ye zai xiang 	也在想	c=1 d=1 t=1554
ye zhang 	业障	c=1 d=1 t=6391
ye zhe 	业者	c=4 d=3.70749 t=5803
ye zhi shi 	也只是	c=1 d=1 t=162
ye zhu 	业主	c=2 d=1 t=6498
yi 	一	c=8 d=2.01627 t=6779
yi 	咦	c=3 d=1.09817 t=3307
yi 	已	c=1 d=1 t=1432
yi bai duo 	一百多	c=1 d=1 t=6679
yi ban 	一般	c=5 d=1.05049 t=4887
yi bao 	医保	c=3 d=1.00849 t=3470
yi bei 	一杯	c=1 d=1 t=4538
yi ben 	一本	c=1 d=1 t=1807
yi bian 	一边	c=3 d=2.96042 t=6334
yi ci 	一次	c=1 d=1 t=3825
yi ci guo 	一次过	c=1 d=1 t=3449
yi dao su 	胰岛素	c=4 d=3.69255 t=2280
yi dian 	一点	c=9 d=1.37408 t=6762
yi dong 	移动	c=2 d=1.97531 t=5589
yi du 	一度	c=0 d=0.1 t=353
yi duan shi jian 	一段时间	c=1 d=1 t=2068
yi dui 	一堆	c=1 d=1 t=5636
yi ge 	一个	c=7 d=1.00012 t=6805
yi ge ge 	一个个	c=1 d=1 t=5229
yi gui 	衣柜	c=2 d=1.09072 t=5242
yi hei 	一黑	c=1 d=0.42628 t=6622
yi hei hei lia 	一黑黑俩	c=1 d=1 t=6623
yi jia 	一家	c=2 d=1.13399 t=5862
yi jian 	一间	c=1 d=1.05123 t=201
yi jian 	意见	c=1 d=1 t=4491
yi ju hua 	一句话	c=1 d=1 t=5976
yi kai chang 	一开场	c=1 d=1 t=5208
yi liang 	一两	c=1 d=1 t=2172
yi mi ba 	一米八	c=1 d=1 t=4579
yi min 	移民	c=8 d=1.00488 t=6453
yi min jian 	移民监	c=1 d=1 t=3242
yi nian 	一年	c=5 d=1.01792 t=6204
yi piao 	一票	c=1 d=1 t=2579
yi ping 	一瓶	c=1 d=1 t=6284
yi qi 	一起	c=2 d=0.104472 t=5926
yi qi 	遗弃	c=2 d=1.99501 t=1919
yi qi fen 	一起分	c=1 d=1 t=5927
yi qian 	以前	c=3 d=1.01524 t=1637
yi qian de 	以前的	c=1 d=1 t=5314
yi qing 	疫情	c=1 d=1 t=1183
yi qun ren 	一群人	c=1 d=1 t=4889
yi ren 	一人	c=1 d=1 t=2578
yi shang 	以上	c=2 d=1.98511 t=4313
yi sheng 	医生	c=2 d=1.65051 t=1212
yi shi 	意识	c=1 d=1 t=1562
yi si 	意思	c=2 d=1 t=4620
yi teng 	伊藤	c=1 d=1 t=6055
yi tian 	一天	c=4 d=2.80602 t=1683
yi wai 	意外	c=2 d=1.00018 t=2902
yi wan 	一晚	c=2 d=1.98511 t=2862
yi wei 	以为	c=0 d=0.1 t=353
yi wei shi 	以为是	c=1 d=1 t=3696
yi xia 	一下	c=7 d=1.0002 t=6615
yi xia 	以下	c=5 d=1 t=6500
yi xiang dao 	一想到	c=1 d=1 t=2881
yi xie 	一些	c=3 d=1.00174 t=3196
yi xie feng xian 	一些风险	c=1 d=1 t=183
yi xiu 	一休	c=2 d=1.99005 t=4462
yi yan 	一眼	c=1 d=1 t=2517
yi yang 	一样	c=3 d=1.11765 t=6570
yi yu 	抑郁	c=1 d=1 t=2764
yi yuan 	医院	c=1 d=0.801173 t=1300
yi zheng tian 	一整天	c=1 d=1 t=2262
yi zhi 	一直	c=4 d=1 t=6281
yi zhi 	移植	c=1 d=1 t=2848
yi zhi diao 	一直掉	c=1 d=1 t=2830
yi zhong 	一中	c=1 d=1 t=6403
yi zhong 	一种	c=8 d=4.08745 t=5305
yi zhong fang shi 	一种方式	c=1 d=1 t=4878
yi zhou 	一周	c=3 d=1 t=5760
yin 	因	c=1 d=1 t=6452
yin 	音	c=6 d=1.99501 t=4431
yin hang 	银行	c=4 d=1.00001 t=5769
yin hao 	引号	c=1 d=1 t=4643
yin mo 	淫魔	c=1 d=1 t=6091
yin ni 	印尼	c=1 d=1 t=3273
yin shi 	饮食	c=3 d=2.93131 t=2002
yin wei 	因为	c=10 d=2.99162 t=6227
yin xiang 	印象	c=1 d=1 t=3102
yin xiang 	音响	c=1 d=1 t=3693
yin yang 	阴阳	c=1 d=1 t=4495
yin yang guai qi 	阴阳怪气	c=1 d=1 t=4514
yin yue 	音乐	c=1 d=1 t=926
ying 	嘤	c=2 d=1 t=3183
ying 	应	c=1 d=1 t=6443
ying 	盈	c=3 d=1.9802 t=4146
ying 	硬	c=3 d=1.00664 t=5018
ying 	莹	c=3 d=1.99655 t=2318
ying chi 	英尺	c=1 d=1 t=6048
ying gai 	应该	c=20 d=2.4651 t=6313
ying gai shi 	应该是	c=1 d=1 t=3341
ying guo 	英国	c=1 d=1 t=4371
ying tao 	樱桃	c=2 d=1.00079 t=6597
ying wen 	英文	c=4 d=1 t=4728
ying xiang 	影响	c=2 d=1.00007 t=4185
ying xiong 	英雄	c=1 d=1 t=1046
yong 	用	c=16 d=1.00089 t=6793
yong de 	用的	c=0 d=0.1 t=794
yong ju 	永居	c=1 d=1 t=2545
yong lai 	用来	c=1 d=1 t=3987
yong liang 	用量	c=1 d=1 t=5886
yong wan 	用完	c=1 d=1 t=1474
yong wo 	用我	c=1 d=1 t=487
yong yuan 	永远	c=1 d=1 t=6019
you 	优	c=2 d=1.92312 t=719
you 	又	c=15 d=1.48735 t=6523
you 	友	c=2 d=1.00008 t=4170
you 	有	c=34 d=1.98445 t=6795
you 	游	c=1 d=1 t=2384
you 	由	c=2 d=1.00005 t=5909
you ben 	有本	c=1 d=1 t=6833
you bian 	右边	c=2 d=1.01507 t=4731
you bu shi 	又不是	c=1 d=1 t=5102
you chang jia qi 	悠长假期	c=1 d=1 t=3750
you chuang yi 	有创意	c=0 d=0.1 t=3988
you dao li 	有道理	c=2 d=1.0124 t=3901
you dian 	有点	c=4 d=1.00006 t=5550
you dian shao 	有点少	c=1 d=1 t=817
you dian xiang 	有点像	c=1 d=1 t=2094
you ge 	有个	c=2 d=1.17359 t=796
you ge wang zhan 	有个网站	c=1 d=1 t=797
you ji 	邮寄	c=3 d=1.99501 t=4761
you jiao 	有角	c=2 d=1.93239 t=6031
you ju 	邮局	c=2 d=1.99501 t=4552
you ke 	有客	c=1 d=1 t=1467
you le 	有了	c=1 d=1 t=1509
you leng 	又冷	c=1 d=1 t=1685
you liang ge 	有两个	c=1 d=1 t=2689
you mei you 	有没有	c=3 d=1.93239 t=6028
you mu 	有目	c=0 d=0.1 t=4907
you mu di 	有目地	c=1 d=1 t=4908
you ni de 	有你的	c=1 d=1 t=356
you piao 	邮票	c=1 d=1 t=4554
you qu 	有趣	c=1 d=1 t=1847
you re 	又热	c=1 d=1 t=1686
you ren 	有人	c=3 d=1 t=5367
you sha 	有啥	c=2 d=1.97531 t=10
you shen me 	有什么	c=4 d=1.14953 t=5119
you shi 	又是	c=2 d=1.99501 t=6068
you shi jian 	有时间	c=0 d=0.1 t=282
you xi 	游戏	c=4 d=1.69073 t=5201
you xi li 	游戏里	c=1 d=1 t=5064
you xiao 	有效	c=1 d=1 t=3342
you xie 	有些	c=1 d=1 t=5126
you xu 	有序	c=1 d=1 t=6109
you yang 	有氧	c=2 d=1.00002 t=2409
you yao 	又要	c=2 d=1.07502 t=1038
you yao qiu 	有要求	c=1 d=1 t=3174
you yi 	有益	c=1 d=1 t=674
you yi yi 	有意义	c=1 d=1 t=4922
you ying wen 	有英文	c=1 d=1 t=1540
you yong 	有用	c=1 d=1 t=5816
you yong 	游泳	c=1 d=1 t=1565
you yong chi 	游泳池	c=1 d=1 t=507
you zhe 	有这	c=1 d=1 t=2839
you zhe me yuan 	又这么远	c=1 d=1 t=3870
you zhe zhong 	有这种	c=1 d=1 t=1910
you zhi 	优质	c=2 d=1.98362 t=719
you zhi 	幼稚	c=1 d=1 t=5273
you zhong 	有种	c=2 d=1.00009 t=3005
yu 	余	c=1 d=1 t=6394
yu 	预	c=1 d=1 t=457
yu guo jiang 	雨果奖	c=1 d=1 t=5053
yu jia 	瑜伽	c=1 d=1 t=901
yu jing ji 	预警机	c=1 d=1 t=1016
yu kuai 	愉快	c=1 d=1 t=306
yu lu 	语录	c=2 d=1 t=6828
yu ming 	域名	c=2 d=1.01906 t=2397
yu ren 	与人	c=0 d=0.1 t=4156
yu ren dou 	与人斗	c=1 d=1 t=4157
yu xian 	预先	c=1 d=1 t=456
yu yan xue jia 	语言学家	c=2 d=1.84789 t=1816
yu yue 	愉悦	c=1 d=1 t=308
yu yue 	预约	c=1 d=1 t=4144
yu zai 	预载	c=1 d=1 t=1500
yuan 	原	c=2 d=1 t=4673
yuan 	员	c=1 d=1 t=4919
yuan 	圆	c=1 d=1 t=2633
yuan 	愿	c=1 d=1 t=996
yuan 	源	c=1 d=1 t=744
yuan 	远	c=1 d=1 t=5837
yuan cheng gong ji 	远程攻击	c=1 d=1 t=595
yuan gu 	缘故	c=1 d=1 t=5688
yuan lai 	原来	c=3 d=1.07605 t=5981
yuan lai ni shi wei le 	原来你是为了	c=1 d=1 t=5922
yuan lai shi 	原来是	c=2 d=1.67368 t=4697
yuan mei you 	远没有	c=1 d=1 t=1382
yuan qi 	元气	c=1 d=1 t=1448
yuan tui 	原推	c=2 d=1 t=5184
yuan wei 	原味	c=1 d=1 t=1580
yue 	月	c=3 d=1.00613 t=6309
yue 	约	c=7 d=1.93283 t=6442
yue lai yue 	越来越	c=1 d=1 t=3978
yue le 	约了	c=1 d=1 t=6441
yue nan 	越南	c=2 d=1 t=4830
yue nan ren 	越南人	c=2 d=1.00105 t=3701
yue pin 	粤拼	c=1 d=1 t=1024
yue zu 	月租	c=3 d=1.00441 t=5912
yun dong 	运动	c=2 d=1.00032 t=4099
yun dong biao xian 	运动表现	c=1 d=1 t=728
yun guo 	运国	c=0 d=0.1 t=2891
yun guo qu 	晕过去	c=1 d=1 t=167
yun guo qu 	运国去	c=2 d=1.86071 t=2922
yun tong 	运通	c=1 d=1 t=1093
za wu 	杂物	c=1 d=1 t=4777
zai 	再	c=11 d=2.07638 t=6190
zai 	在	c=19 d=1.33757 t=6476
zai di shang 	在地上	c=1 d=1 t=289
zai kan 	在看	c=1 d=1 t=6533
zai na 	在哪	c=1 d=1 t=5331
zai shang 	在上	c=1 d=1 t=2116
zai shi yan 	再试验	c=1 d=1 t=3710
zai shou bian 	在手边	c=1 d=1 t=1483
zai tui 	在推	c=0 d=0.1 t=942
zai tui shang 	在推上	c=1 d=1 t=943
zai wo 	在我	c=0 d=0.1 t=2819
zai xian 	在线	c=1 d=1 t=5669
zai xiang 	在想	c=0 d=0.1 t=1553
zai yi 	在意	c=1 d=1 t=568
zai yi qi 	在一起	c=1 d=1 t=3652
zan 	赞	c=1 d=1 t=2378
zan cheng 	赞成	c=1 d=1 t=235
zao 	早	c=1 d=1 t=3362
zao dian 	早点	c=1 d=1 t=4081
zao fan 	早饭	c=1 d=1 t=605
zao jiu 	早就	c=1 d=1 t=5444
zao ri kang fu 	早日康复	c=1 d=1 t=5036
zao shang 	早上	c=3 d=1.00024 t=2608
ze ren 	责任	c=1 d=1 t=6492
zen me 	怎么	c=11 d=1.67442 t=6700
zen me ban 	怎么办	c=2 d=1 t=4663
zen me ding yi 	怎么定义	c=2 d=1.99005 t=710
zen me li jie 	怎么理解	c=1 d=1 t=6550
zen me neng 	怎么能	c=1 d=1 t=6566
zen me yong 	怎么用	c=1 d=1 t=4567
zen yang 	怎样	c=2 d=1.99501 t=3535
zeng dan yu 	曾丹瑜	c=1 d=1 t=1234
zeng jia 	增加	c=1 d=1 t=1254
zeng zhang 	增长	c=1 d=1 t=1596
zha da 	渣打	c=4 d=1.15124 t=5190
zha ji 	炸鸡	c=1 d=1 t=2798
zha nan 	渣男	c=1 d=1 t=3817
zhai 	摘	c=2 d=1.00079 t=6596
zhai yue 	斋月	c=1 d=1 t=2804
zhan 	站	c=1 d=1 t=3934
zhan shi 	展示	c=1 d=1 t=5996
zhan zhe 	站着	c=2 d=1 t=6173
zhang 	帐	c=3 d=1 t=6834
zhang 	长	c=1 d=1 t=3862
zhang ai 	障碍	c=2 d=1.66698 t=5748
zhang guan 	掌管	c=1 d=1 t=2662
zhang hao 	帐号	c=1 d=1 t=2658
zhang hu 	账户	c=1 d=1 t=6501
zhang jie 	章节	c=1 d=1 t=929
zhang jun 	长菌	c=1 d=1 t=136
zhang lang 	蟑螂	c=1 d=1 t=2780
zhang le 	长了	c=1 d=1 t=2635
zhang lian 	张脸	c=0 d=0.1 t=432
zhang zui 	张嘴	c=1 d=1 t=2703
zhao 	找	c=4 d=1.00022 t=5436
zhao 	着	c=1 d=1 t=910
zhao ge 	找个	c=1 d=1 t=1538
zhao yi 	找一	c=0 d=0.1 t=4860
zhao yi qun 	找一群	c=1 d=1 t=4861
zhe 	着	c=3 d=0.899167 t=6413
zhe 	者	c=1 d=1 t=4246
zhe 	这	c=4 d=0.610746 t=6551
zhe bian 	这边	c=1 d=1 t=5763
zhe bu 	这部	c=0 d=0.1 t=4136
zhe bu dui ba 	着不对吧	c=1 d=1 t=6414
zhe bu jiu shi 	这部就是	c=1 d=1 t=4137
zhe bu wen ming 	这不文明	c=1 d=1 t=6552
zhe che 	这车	c=1 d=1 t=4969
zhe ci 	这次	c=1 d=1 t=6600
zhe deng 	折凳	c=1 d=1 t=4781
zhe die 	折叠	c=1 d=1 t=1015
zhe dong xi 	这东西	c=1 d=1 t=6788
zhe dou 	这都	c=0 d=0.1042 t=2584
zhe dou bei ni 	这都被你	c=1 d=1 t=2585
zhe ge 	这个	c=21 d=1.20249 t=6783
zhe ge ye 	这个耶	c=1 d=1 t=3340
zhe ji ge 	这几个	c=1 d=1 t=502
zhe jian shi 	这件事	c=2 d=1.95123 t=5607
zhe ju 	这句	c=1 d=1 t=5969
zhe ke shi 	这可是	c=1 d=1 t=6826
zhe lei xing 	这类型	c=1 d=1 t=947
zhe liang tian 	这两天	c=1 d=1 t=4715
zhe liang zhong 	这两种	c=1 d=1 t=949
zhe me 	这么	c=0 d=0.105313 t=6700
zhe me duo 	这么多	c=2 d=1 t=3575
zhe me gao 	这么高	c=1 d=1 t=2191
zhe me qi te 	这么奇特	c=1 d=1 t=6114
zhe me shuo 	这么说	c=0 d=0.1 t=6003
zhe me tiao 	这么跳	c=1 d=1 t=6701
zhe me yuan 	这么远	c=0 d=0.1 t=3869
zhe ming 	这名	c=0 d=0.1 t=2305
zhe ming zi 	这名字	c=1 d=1 t=2306
zhe sha 	这啥	c=2 d=1.00003 t=6660
zhe shi 	这是	c=2 d=1.00628 t=4984
zhe shi sha 	这是啥	c=1 d=1 t=6158
zhe shuo ming 	这说明	c=1 d=1 t=4647
zhe tiao 	这条	c=0 d=0.1 t=1069
zhe tiao tui 	这条推	c=1 d=1 t=1070
zhe yang 	这样	c=6 d=1.28858 t=6806
zhe yang de 	这样的	c=2 d=1.00001 t=3492
zhe ye shi 	这也是	c=0 d=0.1 t=1053
zhe ye shi se tu 	这也是色图	c=1 d=1 t=1054
zhe zhang 	这张	c=1 d=1 t=1135
zhe zhong 	这种	c=5 d=1.00281 t=2347
zhe zhou 	这周	c=1 d=1 t=3484
zhe zhun bei 	这准备	c=1 d=1 t=1198
zhen 	真	c=5 d=0.120385 t=6658
zhen 	针	c=0 d=0.1 t=1247
zhen 	震	c=2 d=1.99005 t=673
zhen bu yao lian 	真不要脸	c=1 d=1 t=5921
zhen da 	真大	c=1 d=1 t=2392
zhen de 	真的	c=3 d=1.00004 t=5204
zhen de diao 	真的屌	c=1 d=1 t=698
zhen duan 	诊断	c=1 d=1 t=1172
zhen dui 	针对	c=2 d=1.02364 t=905
zhen han 	震撼	c=0 d=0.1 t=1077
zhen hao 	真好	c=1 d=1 t=3166
zhen jia 	真假	c=1 d=1 t=4534
zhen ke pa 	真可怕	c=1 d=1 t=5391
zhen ma fan 	真麻烦	c=1 d=1 t=3571
zhen mei yong 	真没用	c=1 d=1 t=6659
zhen ren 	真人	c=2 d=1.86936 t=3378
zhen shen 	真神	c=0 d=0.1 t=1411
zhen shen qi 	真神奇	c=1 d=1 t=3981
zhen shen zuo 	真神作	c=1 d=1 t=1412
zhen shi 	真是	c=1 d=1 t=875
zhen shuang 	真爽	c=1 d=1 t=2410
zhen suo 	诊所	c=4 d=3.05141 t=3938
zhen tou 	枕头	c=4 d=1.00148 t=5244
zheng 	正	c=1 d=1 t=1729
zheng 	郑	c=2 d=1 t=6662
zheng chang 	正常	c=6 d=1.0013 t=4290
zheng chang de 	正常的	c=0 d=0.1 t=837
zheng fan 	正反	c=2 d=1.99005 t=6129
zheng fu 	政府	c=4 d=1.02139 t=5771
zheng ge 	整个	c=2 d=1 t=2663
zheng jian 	证件	c=1 d=1 t=3264
zheng jie 	郑洁	c=1 d=1 t=345
zheng li 	整理	c=0 d=0.1 t=1470
zheng ming 	证明	c=1 d=1 t=4176
zheng nv shi 	郑女士	c=1 d=1 t=6697
zheng qi hua yi 	整齐划一	c=1 d=1 t=4920
zheng que 	正确	c=1 d=1 t=3395
zheng que de 	正确的	c=1 d=1 t=4414
zheng ti 	整体	c=1 d=1 t=1629
zheng xiang 	正向	c=2 d=1.99501 t=1446
zhi 	之	c=2 d=1.00465 t=3662
zhi 	只	c=1 d=1 t=159
zhi 	痣	c=2 d=1.97531 t=2440
zhi 	直	c=1 d=1 t=3178
zhi 	纸	c=4 d=2.87472 t=6319
zhi 	至	c=1 d=1 t=6509
zhi bi 	纸笔	c=1 d=1 t=660
zhi biao bu zhi ben 	治标不治本	c=1 d=1 t=116
zhi bo 	直播	c=1 d=1 t=5279
zhi dao 	知道	c=5 d=1.02046 t=4117
zhi dian 	指点	c=1 d=1 t=4707
zhi he 	只喝	c=1 d=1 t=6675
zhi hou 	之后	c=9 d=2.05414 t=4524
zhi jian 	之间	c=2 d=1 t=5609
zhi jie 	直接	c=8 d=1.00114 t=6824
zhi jie mai 	直接买	c=1 d=1 t=3549
zhi lei de 	之类的	c=13 d=1.3588 t=6541
zhi liang 	质量	c=1 d=1 t=6138
zhi neng 	只能	c=2 d=1.92774 t=6033
zhi neng he 	只能喝	c=1 d=1 t=1664
zhi neng zi ji kan 	只能自己看	c=1 d=1 t=1037
zhi qian 	之前	c=8 d=1.10162 t=6437
zhi shao 	至少	c=2 d=1.96561 t=6209
zhi shi 	只是	c=6 d=1.00619 t=6052
zhi ti 	肢体	c=3 d=1 t=5732
zhi wai 	之外	c=1 d=1 t=4100
zhi xian ju li 	直线距离	c=1 d=1 t=536
zhi xiang 	纸箱	c=2 d=1.01398 t=5630
zhi xie 	只写	c=2 d=1.00001 t=3952
zhi xin 	之心	c=0 d=0.1 t=3851
zhi yao 	只要	c=0 d=0.1 t=729
zhi yao guan 	只要管	c=1 d=1 t=730
zhi you 	只有	c=2 d=1 t=6763
zhi zi 	之子	c=1 d=1 t=1742
zhong 	中	c=5 d=1.02284 t=6480
zhong 	种	c=6 d=1.00227 t=6764
zhong 	肿	c=0 d=0.1 t=1285
zhong 	重	c=3 d=1.00002 t=5262
zhong 	钟	c=1 d=1 t=5853
zhong an 	众安	c=1 d=1 t=3467
zhong ben 	中本	c=1 d=1 t=1779
zhong deng 	中等	c=1 d=1 t=600
zhong guo 	中国	c=2 d=1.00011 t=2334
zhong jian 	中间	c=1 d=1 t=4729
zhong lian ban 	中联办	c=1 d=1 t=4710
zhong ri han 	中日韩	c=1 d=1 t=1536
zhong shen 	终身	c=1 d=1 t=1223
zhong shi 	中式	c=2 d=1 t=4895
zhong wen 	中文	c=3 d=1.02271 t=6546
zhong xin 	中心	c=0 d=0.1 t=1221
zhong yang 	中央	c=2 d=1 t=3913
zhong yi dong 	中移动	c=2 d=1.00497 t=6641
zhong yu 	终于	c=0 d=0.1 t=430
zhong yu bu shi 	终于不是	c=1 d=1 t=431
zhou 	周	c=1 d=1 t=3034
zhou mo 	周末	c=1 d=1 t=1453
zhou nian 	周年	c=1 d=1 t=3031
zhou si 	周四	c=2 d=1.98511 t=1460
zhou wei 	周围	c=0 d=0.1 t=1440
zhu 	住	c=6 d=2.63955 t=4218
zhu 	助	c=4 d=3.88287 t=380
zhu 	朱	c=1 d=1 t=1249
zhu 	煮	c=1 d=1 t=1045
zhu 	猪	c=3 d=1.01456 t=5807
zhu guang 	烛光	c=1 d=1 t=3803
zhu le 	煮了	c=2 d=1.01569 t=5516
zhu li 	助理	c=1 d=1 t=5613
zhu luo ji 	侏罗纪	c=1 d=1 t=4754
zhu shi 	主食	c=1 d=1 t=2421
zhu wen 	朱文	c=1 d=1 t=5806
zhu yao shi 	主要是	c=1 d=1 t=3025
zhu ye 	主页	c=1 d=1 t=1609
